Condition,Unnamed: 0Mean,PlateNumberMean,RowMean,ColumnMean,FieldMean,CellNumberMean,XMean,YMean,ZMean,WidthMean,HeightMean,PixelSizeXMean,PixelSizeYMean,PixelSizeZMean,LeftMean,TopMean,EventTypeProfileMean,ObjectAreaCh1Mean,ObjectShapeP2ACh1Mean,ObjectShapeLWRCh1Mean,ObjectTotalIntenCh1Mean,ObjectAvgIntenCh1Mean,ObjectVarIntenCh1Mean,TotalIntenCh2Mean,AvgIntenCh2Mean,VarIntenCh2Mean,TotalIntenCh3Mean,AvgIntenCh3Mean,VarIntenCh3Mean,LeftPixsizeMean,TopPixsizeMean
B11,18810.99,1,2,11,29.80,151.70,-230.55,1115.89,46.36,12.79,12.87,1.20,1.20,4.56,249.71,247.99,0,183.56,1.25,1.45,45309.82,357.12,73.48,19905.33,156.23,7.29,8640.63,66.53,7.34,2110.98,1361.05
B2,20109.84,1,2,2,39.25,207.15,-63.41,90.58,14.13,12.21,12.49,1.20,1.20,4.56,193.79,275.79,0,166.85,1.24,1.44,46348.32,404.93,93.01,28578.52,251.45,20.99,20486.07,177.83,24.97,2250.00,2269.49
B5,19863.69,1,2,5,36.95,108.53,-700.03,-70.17,39.95,11.85,12.28,1.20,1.20,4.56,222.75,181.46,0,160.69,1.25,1.46,42097.29,386.11,89.14,28483.26,260.93,25.79,18195.23,164.64,25.34,1720.47,2214.53
B8,20179.43,1,2,8,36.19,110.65,46.35,84.16,46.50,12.23,12.92,1.20,1.20,4.56,299.42,307.85,0,173.78,1.26,1.48,44514.38,371.63,78.58,26403.53,222.07,17.49,16293.95,136.10,18.14,2341.30,2338.94
C10,20482.39,1,3,10,39.93,240.94,794.20,-10.40,48.37,13.01,13.66,1.20,1.20,4.56,262.44,283.26,0,197.51,1.25,1.44,53703.47,398.70,93.71,20312.57,148.49,6.86,7375.72,53.59,4.95,2963.35,2368.42
C4,19653.00,1,3,4,40.00,212.33,344.27,-174.83,61.25,12.36,12.54,1.20,1.20,4.56,251.51,266.46,0,171.29,1.25,1.47,39680.52,339.16,64.24,27204.36,232.38,18.04,18150.89,152.93,22.05,2589.11,2471.60
C7,24403.92,1,3,7,29.94,122.51,136.49,-681.13,65.30,12.33,12.70,1.20,1.20,4.56,254.54,244.97,0,173.02,1.25,1.47,43437.54,368.05,79.55,27796.21,235.14,21.49,16431.51,137.61,20.41,2416.28,2849.74
D3,17882.09,1,4,3,40.51,156.33,663.43,-23.77,73.07,12.47,13.14,1.20,1.20,4.56,275.49,329.18,0,178.76,1.25,1.47,49896.88,405.12,91.02,27828.18,228.31,20.10,18800.26,152.44,22.31,2854.58,2471.38
