Target ident Position ZL Z mu fiber F F_err SFR SFR_err N_CC NCC_err N_Ia NIa_err
SLACSJ 00290055 002907.77005550.50 0.23 0.93 23 61 3.3  1.1 5.3  3.0 0.019  0.011 0.0023  0.0013
SLACSJ 00370942 003753.22094220.14 0.20 0.63 6 34 2.2  0.5 6.3  3.2 0.027  0.014 0.0035  0.0018
SLACSJ 00440113 004402.90011312.50 0.12 0.20 2 53 14.5  2.4 2.5  1.2 0.014  0.007 0.0022  0.0010
SLACSJ 01091500 010933.74150032.50 0.29 0.52 2 55 2.4  1.0 6.1  3.8 0.028  0.017 0.0038  0.0023
SLACSJ 01570056 015758.94005626.10 0.51 0.92 2 28 2.5  1.4 83.9  60.2 0.305  0.219 0.0368  0.0264
SLACSJ 02160813 021652.53081345.44 0.33 0.52 3 26 4.6  1.1 19.6  10.1 0.090  0.046 0.0121  0.0062
SLACSJ 02520039 025245.21003958.40 0.28 0.98 16 53 6.3  0.6 19.2  8.8 0.068  0.031 0.0080  0.0037
SLACSJ 03300020 033012.14002051.90 0.35 1.07 4 47 4.7  0.9 98.3  47.8 0.332  0.162 0.0387  0.0188
SLACSJ 04050455 040535.42045552.40 0.08 0.81 16 73 1.7  0.3 2.1  1.0 0.008  0.004 0.0010  0.0005
SLACSJ 07283835 072804.95383525.70 0.21 0.69 10 52 1.8  0.9 2.8  1.9 0.012  0.008 0.0015  0.0010
SLACSJ 07373216 073728.44321618.66 0.32 0.58 14 52 7.2  1.5 4.6  2.3 0.020  0.010 0.0027  0.0013
SLACSJ 08222652 082242.32265243.50 0.24 0.59 7 46 2.1  0.5 3.2  1.6 0.014  0.007 0.0018  0.0009
SLACSJ 09034116 090315.19411609.10 0.43 1.06 8 48 3.1  1.9 26.9  20.7 0.091  0.070 0.0106  0.0082
SLACSJ 09120029 091205.31002901.18 0.16 0.32 6 26 4.4  2.0 2.5  1.6 0.013  0.008 0.0019  0.0012
SLACSJ 09350003 093543.93000334.80 0.35 0.47 3 34 3.2  2.7 6.9  6.6 0.033  0.031 0.0045  0.0043
SLACSJ 09360913 093600.77091335.80 0.19 0.59 7 55 2.4  0.7 3.0  1.6 0.013  0.007 0.0018  0.0010
SLACSJ 09461006 094656.68100652.80 0.22 0.61 18 46 7.0  1.9 4.6  2.4 0.020  0.011 0.0026  0.0014
SLACSJ 09550101 095519.72010144.40 0.11 0.32 4 50 5.2  0.9 2.1  1.0 0.011  0.005 0.0016  0.0008
SLACSJ 09565100 095629.78510006.39 0.24 0.47 8 45 4.6  1.4 2.9  1.6 0.014  0.007 0.0019  0.0010
SLACSJ 09590410 095944.07041017.00 0.13 0.54 5 56 3.9  1.7 4.9  3.1 0.023  0.014 0.0030  0.0019
SLACSJ 09594416 095900.96441639.40 0.24 0.53 9 57 2.6  0.7 1.9  1.0 0.009  0.005 0.0011  0.0006
SLACSJ 10163859 101622.86385903.30 0.17 0.44 5 40 1.8  0.7 1.6  1.0 0.008  0.005 0.0010  0.0006
SLACSJ 10201122 102026.54112241.10 0.28 0.55 6 51 2.6  1.0 3.3  1.9 0.015  0.009 0.0019  0.0012
SLACSJ 10290420 102922.94042001.80 0.10 0.62 4 47 2.3  0.8 7.6  4.3 0.033  0.019 0.0043  0.0024
SLACSJ 10325322 103235.84532234.90 0.13 0.33 3 38 9.2  1.0 6.0  2.8 0.032  0.015 0.0045  0.0021
SLACSJ 11005329 110024.39532913.71 0.32 0.86 13 28 6.8  2.0 30.7  16.5 0.116  0.062 0.0142  0.0076
SLACSJ 11035322 110308.21532228.20 0.16 0.74 3 24 5.4  3.1 76.3  55.5 0.308  0.224 0.0388  0.0283
SLACSJ 11065228 110646.16522837.70 0.10 0.41 25 23 8.3  3.5 2.3  1.4 0.011  0.007 0.0016  0.0010
SLACSJ 11120826 111250.60082610.40 0.27 0.63 4 11 2.6  0.8 32.0  17.6 0.137  0.075 0.0179  0.0098
SLACSJ 11421001 114257.35100111.80 0.22 0.50 3 42 2.5  0.7 5.1  2.7 0.024  0.012 0.0032  0.0017
SLACSJ 11430144 114329.64014430.00 0.11 0.40 4 18 9.0  1.1 16.6  7.7 0.083  0.039 0.0116  0.0054
SLACSJ 11534612 115310.79461205.30 0.18 0.88 10 59 2.7  0.7 7.8  4.0 0.029  0.015 0.0035  0.0018
SLACSJ 12040358 120444.07035806.39 0.16 0.63 9 49 4.9  1.4 6.9  3.7 0.030  0.016 0.0039  0.0021
SLACSJ 12054910 120540.44491029.38 0.21 0.48 13 46 6.2  0.6 2.7  1.2 0.013  0.006 0.0017  0.0008
SLACSJ 12136708 121340.58670829.00 0.12 0.64 8 32 2.8  0.8 7.4  3.9 0.032  0.017 0.0041  0.0022
SLACSJ 12500523 125028.26052349.07 0.23 0.80 10 46 6.2  1.7 17.6  9.3 0.069  0.036 0.0086  0.0045
SLACSJ 12510208 125135.71020805.17 0.22 0.78 4 48 3.4  1.0 20.4  11.0 0.080  0.043 0.0100  0.0054
SLACSJ 14165136 141622.34513630.40 0.30 0.81 4 22 3.1  1.4 54.0  34.7 0.209  0.134 0.0259  0.0166
SLACSJ 14206019 142015.85601914.80 0.06 0.54 13 49 7.0  1.5 3.9  2.0 0.018  0.009 0.0024  0.0012
SLACSJ 14304105 143004.10410557.10 0.28 0.58 6 35 8.6  1.8 18.5  9.2 0.082  0.041 0.0109  0.0054
SLACSJ 14326317 143213.34631703.80 0.12 0.66 4 38 9.2  1.4 45.3  21.5 0.190  0.090 0.0245  0.0116
SLACSJ 14360000 143627.54000029.10 0.29 0.80 4 43 2.7  0.8 18.9  10.0 0.073  0.039 0.0091  0.0048
SLACSJ 14430304 144319.62030408.25 0.13 0.42 7 41 1.5  0.5 0.9  0.5 0.005  0.003 0.0006  0.0003
SLACSJ 14510239 145128.19023936.40 0.13 0.52 11 45 5.3  1.1 3.3  1.7 0.015  0.008 0.0021  0.0010
SLACSJ 15253327 152506.70332747.40 0.36 0.72 4 32 3.7  0.7 23.6  11.4 0.096  0.046 0.0122  0.0059
SLACSJ 15385817 153812.94581709.69 0.14 0.53 8 41 15.0  1.4 16.5  7.5 0.075  0.035 0.0101  0.0046
SLACSJ 16213931 162132.99393144.60 0.24 0.60 8 47 9.7  8.0 13.5  12.6 0.059  0.055 0.0077  0.0072
SLACSJ 16270053 162746.45005357.56 0.21 0.52 20 49 3.7  0.7 1.3  0.6 0.006  0.003 0.0008  0.0004
SLACSJ 16304520 163028.16452036.28 0.25 0.79 9 22 2.7  1.0 16.7  9.6 0.065  0.038 0.0081  0.0047
SLACSJ 16364707 163602.62470729.57 0.23 0.67 8 62 1.5  0.6 2.3  1.3 0.010  0.006 0.0012  0.0007
SLACSJ 22380754 223840.20075456.05 0.14 0.71 12 52 5.3  1.3 7.4  3.8 0.030  0.016 0.0039  0.0020
SLACSJ 23000022 230053.14002237.95 0.23 0.46 12 49 2.0  0.8 0.7  0.5 0.004  0.002 0.0005  0.0003
SLACSJ 23031422 230321.72142217.91 0.16 0.52 8 41 1.6  0.8 1.6  1.1 0.007  0.005 0.0010  0.0007
SLACSJ 23210939 232120.93093910.27 0.08 0.53 12 33 7.6  1.6 6.7  3.3 0.031  0.015 0.0041  0.0020
S4TMJ 01431006 014356.58100633.70 0.22 1.10 3 33 4.3  1.8 159.5  99.1 0.531  0.330 0.0614  0.0381
S4TMJ 01590006 015930.14000612.40 0.16 0.75 6 56 1.7  0.6 5.2  2.9 0.021  0.012 0.0026  0.0015
S4TMJ 03240045 032415.50004505.50 0.32 0.92 14 77 1.5  0.7 2.9  1.8 0.010  0.007 0.0013  0.0008
S4TMJ 03240110 032454.50011029.10 0.45 0.62 4 79 2.1  0.4 3.5  1.7 0.015  0.008 0.0020  0.0010
S4TMJ 07533416 075346.21341633.60 0.14 0.96 27 56 6.7  2.3 11.2  6.3 0.040  0.023 0.0048  0.0027
S4TMJ 07541927 075428.52192728.10 0.15 0.74 5 43 4.1  1.7 17.9  10.9 0.072  0.044 0.0091  0.0055
S4TMJ 07571956 075748.99195616.30 0.12 0.83 9 32 5.3  1.4 28.4  15.0 0.108  0.057 0.0134  0.0070
S4TMJ 08472348 084727.69234819.50 0.16 0.53 17 79 3.1  0.7 0.8  0.4 0.004  0.002 0.0005  0.0003
S4TMJ 08510505 085141.89050507.00 0.13 0.64 6 69 5.9  1.8 8.3  4.5 0.036  0.019 0.0046  0.0025
S4TMJ 09203028 092048.28302818.40 0.29 0.39 8 48 3.3  0.5 1.1  0.5 0.006  0.003 0.0008  0.0004
S4TMJ 09553014 095557.49301450.90 0.32 0.47 4 72 2.4  2.2 1.8  1.8 0.009  0.009 0.0012  0.0012
S4TMJ 10103124 101026.80312417.60 0.17 0.42 4 48 5.0  1.2 4.9  2.5 0.024  0.012 0.0033  0.0017
S4TMJ 10313026 103121.01302658.00 0.17 0.75 5 69 7.1  1.9 20.0  10.4 0.080  0.042 0.0101  0.0053
S4TMJ 10403626 104058.50362628.60 0.12 0.28 3 78 3.4  0.7 0.8  0.4 0.004  0.002 0.0006  0.0003
S4TMJ 10410112 104122.85011224.20 0.10 0.22 5 73 4.2  1.2 0.3  0.2 0.002  0.001 0.0002  0.0001
S4TMJ 10481313 104809.40131352.90 0.13 0.67 4 45 4.2  3.7 18.3  18.2 0.077  0.076 0.0099  0.0098
S4TMJ 10514439 105109.41443908.51 0.16 0.54 3 52 8.0  2.0 17.3  8.8 0.079  0.040 0.0105  0.0054
S4TMJ 10564141 105657.61414114.60 0.13 0.83 10 76 3.2  0.5 6.2  2.9 0.024  0.011 0.0029  0.0014
S4TMJ 11011523 110113.13152339.60 0.18 0.52 5 48 2.7  0.8 3.5  1.9 0.016  0.009 0.0022  0.0012
S4TMJ 11272312 112738.70231244.40 0.13 0.36 8 19 5.7  0.8 4.2  2.0 0.022  0.010 0.0030  0.0014
S4TMJ 11371818 113728.61181812.40 0.12 0.46 10 23 3.5  0.7 3.7  1.8 0.018  0.009 0.0024  0.0012
S4TMJ 11422509 114238.23250905.50 0.16 0.66 18 83 3.4  0.9 1.6  0.8 0.007  0.003 0.0009  0.0004
S4TMJ 11440436 114440.13043650.50 0.10 0.26 5 62 10.5  2.2 1.5  0.8 0.008  0.004 0.0012  0.0006
S4TMJ 12132930 121303.72293022.40 0.09 0.60 21 49 4.2  1.3 2.0  1.1 0.009  0.005 0.0011  0.0006
S4TMJ 13010834 130126.88083425.20 0.09 0.53 9 64 8.9  6.5 5.8  5.0 0.026  0.023 0.0035  0.0030
S4TMJ 13301750 133031.40175040.50 0.21 0.37 4 50 2.9  0.6 1.9  0.9 0.009  0.005 0.0013  0.0007
S4TMJ 14332835 143351.63283516.40 0.09 0.41 10 37 5.3  1.3 2.2  1.1 0.011  0.006 0.0015  0.0008
S4TMJ 15413642 154122.27364231.70 0.14 0.74 16 53 5.9  0.9 6.9  3.2 0.028  0.013 0.0035  0.0016
