# time (microsecs), P (dry), P (sat.)
12.13,-0.03,-0.02
12.13,-0.03,-0.02
12.14,-0.03,-0.02
12.14,-0.03,-0.02
12.14,-0.03,-0.02
12.15,-0.03,-0.02
12.15,-0.03,-0.02
12.16,-0.03,-0.02
12.16,-0.04,-0.02
12.16,-0.03,-0.02
12.17,-0.03,-0.02
12.17,-0.03,-0.02
12.18,-0.03,-0.02
12.18,-0.03,-0.02
12.18,-0.04,-0.02
12.19,-0.03,-0.02
12.19,-0.03,-0.02
12.20,-0.03,-0.02
12.20,-0.04,-0.02
12.20,-0.03,-0.02
12.21,-0.03,-0.02
12.21,-0.04,-0.02
12.22,-0.03,-0.02
12.22,-0.03,-0.02
12.22,-0.03,-0.02
12.23,-0.03,-0.02
12.23,-0.03,-0.02
12.24,-0.03,-0.02
12.24,-0.03,-0.02
12.24,-0.03,-0.02
12.25,-0.03,-0.02
12.25,-0.03,-0.02
12.26,-0.03,-0.02
12.26,-0.03,-0.02
12.26,-0.03,-0.02
12.27,-0.03,-0.02
12.27,-0.03,-0.02
12.28,-0.03,-0.02
12.28,-0.03,-0.02
12.28,-0.03,-0.02
12.29,-0.03,-0.02
12.29,-0.03,-0.02
12.30,-0.03,-0.02
12.30,-0.03,-0.02
12.30,-0.03,-0.02
12.31,-0.03,-0.02
12.31,-0.03,-0.02
12.32,-0.03,-0.02
12.32,-0.03,-0.02
12.32,-0.03,-0.02
12.33,-0.04,-0.02
12.33,-0.03,-0.02
12.34,-0.03,-0.02
12.34,-0.04,-0.02
12.34,-0.03,-0.02
12.35,-0.03,-0.02
12.35,-0.03,-0.02
12.36,-0.03,-0.02
12.36,-0.03,-0.02
12.36,-0.03,-0.02
12.37,-0.03,-0.02
12.37,-0.03,-0.02
12.38,-0.03,-0.02
12.38,-0.03,-0.02
12.38,-0.03,-0.02
12.39,-0.03,-0.02
12.39,-0.03,-0.02
12.40,-0.03,-0.02
12.40,-0.03,-0.02
12.40,-0.03,-0.02
12.41,-0.03,-0.02
12.41,-0.03,-0.02
12.42,-0.03,-0.02
12.42,-0.03,-0.02
12.42,-0.03,-0.02
12.43,-0.03,-0.02
12.43,-0.04,-0.02
12.44,-0.03,-0.02
12.44,-0.03,-0.02
12.44,-0.03,-0.02
12.45,-0.03,-0.02
12.45,-0.03,-0.02
12.46,-0.03,-0.02
12.46,-0.03,-0.02
12.46,-0.03,-0.02
12.47,-0.04,-0.02
12.47,-0.03,-0.02
12.48,-0.03,-0.02
12.48,-0.03,-0.02
12.48,-0.03,-0.02
12.49,-0.03,-0.02
12.49,-0.03,-0.02
12.50,-0.03,-0.02
12.50,-0.03,-0.02
12.50,-0.03,-0.02
