Survey Identifier Position Z mu SFR N_CC N_Ia
S4TMJ 15413642 154122.27364231.70 0.74 16 6.9 0.028 0.0035
S4TMJ 15432202 154339.94220223.30 0.4 3 6.7 0.033 0.0047
S4TMJ 15502020 155010.62202013.50 0.35 2 7.2 0.038 0.0053
S4TMJ 15533004 155316.14300425.70 0.57 5 5.5 0.024 0.0032
S4TMJ 16072147 160740.50214711.00 0.49 2 4.6 0.022 0.0029
S4TMJ 16331441 163344.16144154.90 0.58 19 2.6 0.011 0.0015
S4TMJ 23090039 230946.36003912.90 1.0 4 46.1 0.161 0.019
BELLSJ 7474448 074734.75444859.30 0.9 26 1.2 0.004 0.0005
BELLSJ 7475055 074724.12505537.50 0.9 3 81.6 0.301 0.0365
BELLSJ 8014727 080105.30472749.61 1.52 4 229.8 0.639 0.0682
BELLSJ 8305116 083049.73511631.80 1.33 6 134.0 0.402 0.0444
BELLSJ 9440147 094427.47014742.40 1.18 5 34.5 0.111 0.0126
BELLSJ 11590007 115944.63000728.20 1.35 8 81.4 0.243 0.0268
BELLSJ 12150047 121504.44004726.00 1.3 3 266.6 0.812 0.0903
BELLSJ 12213806 122151.92380610.50 1.28 4 97.2 0.298 0.0332
BELLSJ 12340241 123427.99024129.60 1.02 2 50.9 0.177 0.0208
BELLSJ 13180104 131829.39010421.60 1.4 7 68.3 0.199 0.0218
BELLSJ 13373620 133751.31362018.10 1.18 12 46.4 0.149 0.0169
BELLSJ 13493612 134910.30361239.70 0.89 5 23.6 0.087 0.0106
BELLSJ 13523216 135218.99321651.80 1.03 6 65.5 0.225 0.0265
BELLSJ 15222910 152209.54291021.90 1.31 6 114.8 0.348 0.0385
BELLSJ 15421629 154246.33162951.80 1.02 3 57.2 0.198 0.0233
BELLSJ 16012138 160113.27213833.90 1.45 3 151.4 0.433 0.0468
BELLSJ 16111705 161109.80170526.60 1.21 3 121.7 0.385 0.0436
BELLSJ 16311854 163150.33185404.10 1.09 19 59.5 0.2 0.0232
BELLSJ 16371439 163714.58143930.10 0.87 11 3.2 0.012 0.0015
BELLSJ 21220409 212252.04040935.50 1.45 6 93.4 0.267 0.0288
BELLSJ 21250411 212510.67041131.60 0.98 4 42.0 0.149 0.0177
BELLSJ 23030037 230335.17003703.20 0.94 7 9.2 0.033 0.004
