Target	          RA            Dec          zL    zS    mu ffiber FOII SFR err_SFR N_CC err_NCC N_Ia err_NIa
BELLSJ0151+0049 01:51:07.37  +00:49:09.00   0.52   1.36    7   43   nan  nan   nan   nan  nan   nan   nan   nan 
BELLSJ0747+4448 07:47:34.75  +44:48:59.30   0.44   0.90   26   51   0.8  0.2   1.2  0.6   0.004  0.002   0.0005  0.0003  
BELLSJ0747+5055 07:47:24.12  +50:55:37.50   0.44   0.90    3   31   3.9  1.7   81.6  50.7   0.301  0.187   0.0365  0.0226  
BELLSJ0801+4727 08:01:05.30  +47:27:49.61   0.48   1.52    4   50   3.5  0.7   229.8  113.0   0.639  0.314   0.0682  0.0335  
BELLSJ0830+5116 08:30:49.73  +51:16:31.80   0.53   1.33    6   23   2.3  1.1   134.0  86.5   0.402  0.260   0.0444  0.0287  
BELLSJ0944+0147 09:44:27.47  -01:47:42.40   0.54   1.18    5   37   1.3  1.0   34.5  30.6   0.111  0.098   0.0126  0.0112  
BELLSJ1159+0007 11:59:44.63  -00:07:28.20   0.58   1.35    8   43   3.7  0.6   81.4  38.8   0.243  0.116   0.0268  0.0128  
BELLSJ1215+0047 12:15:04.44  +00:47:26.00   0.64   1.30    3   14   1.8  0.8   266.6  165.3   0.812  0.504   0.0903  0.0560  
BELLSJ1221+3806 12:21:51.92  +38:06:10.50   0.53   1.28    4   36   1.8  0.7   97.2  56.4   0.298  0.173   0.0332  0.0193  
BELLSJ1234+0241 12:34:27.99  -02:41:29.60   0.49   1.02    2   44   1.8  0.3   50.9  24.3   0.177  0.084   0.0208  0.0099  
BELLSJ1318+0104 13:18:29.39  -01:04:21.60   0.66   1.40    7   46   2.2  0.6   68.3  36.3   0.199  0.106   0.0218  0.0116  
BELLSJ1337+3620 13:37:51.31  +36:20:18.10   0.56   1.18   12   15   1.6  0.7   46.4  29.1   0.149  0.093   0.0169  0.0106  
BELLSJ1349+3612 13:49:10.30  +36:12:39.70   0.44   0.89    5   36   2.1  0.3   23.6  11.2   0.087  0.041   0.0106  0.0050  
BELLSJ1352+3216 13:52:18.99  +32:16:51.80   0.46   1.03    6    9   1.0  0.3   65.5  33.5   0.225  0.115   0.0265  0.0136  
BELLSJ1522+2910 15:22:09.54  +29:10:21.90   0.56   1.31    6   43   3.8  0.8   114.8  57.2   0.348  0.173   0.0385  0.0192  
BELLSJ1541+1812 15:41:18.56  +18:12:35.10   0.56   1.11    4   45   nan  nan   nan   nan  nan   nan   nan   nan 
BELLSJ1542+1629 15:42:46.33  +16:29:51.80   0.35   1.02    3   25   1.5  1.0   57.2  46.0   0.198  0.159   0.0233  0.0187  
BELLSJ1545+2748 15:45:03.57  +27:48:05.30   0.52   1.29    4   23   nan  nan   nan   nan   nan   nan   nan   nan 
BELLSJ1601+2138 16:01:13.27  +21:38:33.90   0.54   1.45    3   26   1.3  0.8   151.4  119.4   0.433  0.342   0.0468  0.0369  
BELLSJ1611+1705 16:11:09.80  +17:05:26.60   0.48   1.21    3   34   2.1  0.3   121.7  58.1   0.385  0.184   0.0436  0.0208  
BELLSJ1631+1854 16:31:50.33  +18:54:04.10   0.41   1.09   19   12   3.6  0.5   59.5  27.9   0.200  0.094   0.0232  0.0109  
BELLSJ1637+1439 16:37:14.58  +14:39:30.10   0.39   0.87   11   41   0.8  0.2   3.2  1.6   0.012  0.006   0.0015  0.0007  
BELLSJ2122+0409 21:22:52.04  +04:09:35.50   0.63   1.45    6   19   0.9  0.5   93.4  69.2   0.267  0.197   0.0288  0.0213  
BELLSJ2125+0411 21:25:10.67  +04:11:31.60   0.36   0.98    4   18   1.3  0.2   42.0  20.2   0.149  0.071   0.0177  0.0085  
BELLSJ2303+0037 23:03:35.17  +00:37:03.20   0.46   0.94    7   28   0.9  0.2   9.2  4.7   0.033  0.017   0.0040  0.0020  
S4TMJ0143-1006  01:43:56.58  -10:06:33.70   0.22   1.10    3   33   4.3  1.8   159.5   99.1   0.531   0.330   0.0614   0.0381 
S4TMJ2309-0039  23:09:46.36  -00:39:12.90   0.29   1.00    4   37   2.1  1.1   46.1   32.3   0.161   0.113   0.0190   0.0133 
SLACSJ0330-0020 03:30:12.14  -00:20:51.90   0.35   1.07    4   47   4.7  0.9   98.3   47.8   0.332   0.162   0.0387   0.0188 
