# Survey     Target         RA      DEC     z_l     z    n_cc  ncc_err n_Ia  nIa_err 
 SLACS    SDSSJ1103+5322  165.78   53.37    0.16    0.74   0.308   0.224  0.0388  0.0283
 BELLS    SDSSJ0747+5055  116.85   50.93    0.44    0.90   0.301   0.187  0.0365  0.0226
 SLACS    SDSSJ1432+6317  218.06   63.28    0.12    0.66   0.190   0.090  0.0245  0.0116
 SLACS    SDSSJ0157-0056   29.50   -0.94    0.51    0.92   0.305   0.219  0.0368  0.0264
 SLACS    SDSSJ1143-0144  175.87   -1.74    0.11    0.40   0.083   0.039  0.0116  0.0054
 SLACS    SDSSJ1416+5136  214.09   51.61    0.30    0.81   0.209   0.134  0.0259  0.0166
 SLACS    SDSSJ1112+0826  168.21    8.44    0.27    0.63   0.137   0.075  0.0179  0.0098
 S4TM     SDSSJ0143-1006   25.99  -10.11    0.22    1.10   0.531   0.330  0.0614  0.0381
 SLACS    SDSSJ0216-0813   34.22   -8.23    0.33    0.52   0.090   0.046  0.0121  0.0062
 S4TM     SDSSJ1051+4439  162.79   44.65    0.16    0.54   0.079   0.040  0.0105  0.0054
 SLACS    SDSSJ1538+5817  234.55   58.29    0.14    0.53   0.075   0.035  0.0101  0.0046
 S4TM     SDSSJ1550+2020  237.54   20.34    0.14    0.35   0.038   0.018  0.0053  0.0026
 SLACS    SDSSJ1430+4105  217.52   41.10    0.28    0.58   0.082   0.041  0.0109  0.0054
 SLACS    SDSSJ0330-0020   52.55   -0.35    0.35    1.07   0.332   0.162  0.0387  0.0188
 SLACS    SDSSJ1032+5322  158.15   53.38    0.13    0.33   0.032   0.015  0.0045  0.0021
 BELLS    SDSSJ1215+0047  183.77    0.79    0.64    1.30   0.812   0.504  0.0903  0.0560
 SLACS    SDSSJ1525+3327  231.28   33.46    0.36    0.72   0.096   0.046  0.0122  0.0059
 SLACS    SDSSJ1100+5329  165.10   53.49    0.32    0.86   0.116   0.062  0.0142  0.0076
 S4TM     SDSSJ0757+1956  119.45   19.94    0.12    0.83   0.108   0.057  0.0134  0.0070
 BELLS    SDSSJ1352+3216  208.08   32.28    0.46    1.03   0.225   0.115  0.0265  0.0136
 S4TM     SDSSJ1048+1313  162.04   13.23    0.13    0.67   0.077   0.076  0.0099  0.0098
 BELLS    SDSSJ1542+1629  235.69   16.50    0.35    1.02   0.198   0.159  0.0233  0.0187
 S4TM     SDSSJ1543+2202  235.92   22.04    0.27    0.40   0.033   0.016  0.0047  0.0022
 BELLS    SDSSJ2125+0411  321.29    4.19    0.36    0.98   0.149   0.071  0.0177  0.0085
 BELLS    SDSSJ1234-0241  188.62   -2.69    0.49    1.02   0.177   0.084  0.0208  0.0099
 S4TM     SDSSJ1031+3026  157.84   30.45    0.17    0.75   0.080   0.042  0.0101  0.0053
 S4TM     SDSSJ2309-0039  347.44   -0.65    0.29    1.00   0.161   0.113  0.0190  0.0133
 SLACS    SDSSJ1621+3931  245.39   39.53    0.24    0.60   0.059   0.055  0.0077  0.0072
 SLACS    SDSSJ1251-0208  192.90   -2.13    0.22    0.78   0.080   0.043  0.0100  0.0054
 S4TM     SDSSJ0754+1927  118.62   19.46    0.15    0.74   0.072   0.044  0.0091  0.0055
 SLACS    SDSSJ0044+0113   11.01    1.22    0.12    0.20   0.014   0.007  0.0022  0.0010
 BELLS    SDSSJ1349+3612  207.29   36.21    0.44    0.89   0.087   0.041  0.0106  0.0050
 SLACS    SDSSJ1436-0000  219.11   -0.01    0.29    0.80   0.073   0.039  0.0091  0.0048
 SLACS    SDSSJ0935-0003  143.93   -0.06    0.35    0.47   0.033   0.031  0.0045  0.0043
 SLACS    SDSSJ1250+0523  192.62    5.40    0.23    0.80   0.069   0.036  0.0086  0.0045
 S4TM     SDSSJ1127+2312  171.91   23.21    0.13    0.36   0.022   0.010  0.0030  0.0014
 BELLS    SDSSJ1631+1854  247.96   18.90    0.41    1.09   0.200   0.094  0.0232  0.0109
 SLACS    SDSSJ1630+4520  247.62   45.34    0.25    0.79   0.065   0.038  0.0081  0.0047
 BELLS    SDSSJ1611+1705  242.79   17.09    0.48    1.21   0.385   0.184  0.0436  0.0208
 S4TM     SDSSJ1010+3124  152.61   31.40    0.17    0.42   0.024   0.012  0.0033  0.0017
 BELLS    SDSSJ0801+4727  120.27   47.46    0.48    1.52   0.639   0.314  0.0682  0.0335
 BELLS    SDSSJ0830+5116  127.71   51.28    0.53    1.33   0.402   0.260  0.0444  0.0287
 SLACS    SDSSJ2321-0939  350.34   -9.65    0.08    0.53   0.031   0.015  0.0041  0.0020
 SLACS    SDSSJ0109+1500   17.39   15.01    0.29    0.52   0.028   0.017  0.0038  0.0023
 SLACS    SDSSJ0912+0029  138.02    0.48    0.16    0.32   0.013   0.008  0.0019  0.0012
 S4TM     SDSSJ0851+0505  132.92    5.09    0.13    0.64   0.036   0.019  0.0046  0.0025
 BELLS    SDSSJ1522+2910  230.54   29.17    0.56    1.31   0.348   0.173  0.0385  0.0192
 SLACS    SDSSJ1029+0420  157.35    4.33    0.10    0.62   0.033   0.019  0.0043  0.0024
 SLACS    SDSSJ1142+1001  175.74   10.02    0.22    0.50   0.024   0.012  0.0032  0.0017
 S4TM     SDSSJ1301+0834  195.36    8.57    0.09    0.53   0.026   0.023  0.0035  0.0030
 S4TM     SDSSJ1607+2147  241.92   21.79    0.21    0.49   0.022   0.012  0.0029  0.0017
 BELLS    SDSSJ1221+3806  185.47   38.10    0.53    1.28   0.298   0.173  0.0332  0.0193
 SLACS    SDSSJ1213+6708  183.42   67.14    0.12    0.64   0.032   0.017  0.0041  0.0022
 SLACS    SDSSJ0955+0101  148.83    1.03    0.11    0.32   0.011   0.005  0.0016  0.0008
